provinsi,tahun,bulan,stok_beras_ton,stok_padi_ton,harga_beras,jumlah_bencana,jumlah_curah_hujan,durasi_hujan_berturut_turut,max_curah_hujan,jumlah_hari_puasa,jumlah_hari_lebaran,jumlah_hari_nataru,harga_beras_bulan_lalu,stok_beras_bulan_lalu,tanggal,cluster_kmeans,anomaly_isolation_forest
ACEH,2023,3,120062.0771,210635.223,"11,900",15,131.1,2,54.6,9,0,0,"11,850",48024.83084,2023-03-01,0,1
ACEH,2023,4,144074.4925,252762.2676,"11,750",21,68.0,1,44.4,21,7,0,"11,900",120062.0771,2023-04-01,0,1
ACEH,2023,5,80041.38474,140423.482,"11,750",17,26.2,2,9.3,0,0,0,"11,750",144074.4925,2023-05-01,0,1
ACEH,2023,6,56028.96932,98296.4374,"11,700",32,129.5,5,45.0,0,0,0,"11,750",80041.38474,2023-06-01,0,1
ACEH,2023,7,40020.69237,70211.741,"11,750",28,89.6,2,37.3,0,0,0,"11,700",56028.96932,2023-07-01,0,1
ACEH,2023,8,48024.83084,84254.0892,"12,100",20,56.9,3,23.3,0,0,0,"11,750",40020.69237,2023-08-01,0,1
ACEH,2023,9,80041.38474,140423.482,"12,550",16,126.3,4,17.7,0,0,0,"12,100",48024.83084,2023-09-01,0,1
ACEH,2023,10,80041.38474,140423.482,"13,650",16,291.3,8,85.5,0,0,0,"12,550",80041.38474,2023-10-01,0,1
ACEH,2023,11,32016.5539,56169.3928,"13,650",18,192.4,15,37.4,0,0,0,"13,650",80041.38474,2023-11-01,0,1
ACEH,2023,12,32016.5539,56169.3928,"13,700",19,330.8,5,127.2,0,0,2,"13,650",32016.5539,2023-12-01,0,1
ACEH,2024,1,47309.03898,82998.314,"13,750",2,164.9,7,32.0,0,0,1,"13,700",32016.5539,2024-01-01,0,1
ACEH,2024,2,56770.84678,99597.9768,"13,850",4,50.3,2,36.4,0,0,0,"13,750",47309.03898,2024-02-01,0,1
ACEH,2024,3,141927.1169,248994.942,"13,850",4,41.8,2,23.3,20,0,0,"13,850",56770.84678,2024-03-01,0,1
ACEH,2024,4,170312.5403,298793.9304,"13,800",7,12.9,1,5.9,9,6,0,"13,850",141927.1169,2024-04-01,0,1
ACEH,2024,5,94618.07796,165996.628,"14,000",10,58.1,4,19.6,0,0,0,"13,800",170312.5403,2024-05-01,0,1
ACEH,2024,6,66232.65457,116197.6396,"13,950",3,23.1,2,10.7,0,0,0,"14,000",94618.07796,2024-06-01,0,1
ACEH,2024,7,47309.03898,82998.314,"13,800",18,103.9,1,91.8,0,0,0,"13,950",66232.65457,2024-07-01,0,1
ACEH,2024,8,56770.84678,99597.9768,"13,900",12,30130.9,5,9999.0,0,0,0,"13,800",47309.03898,2024-08-01,1,-1
ACEH,2024,9,94618.07796,165996.628,"13,900",12,10309.4,7,9999.0,0,0,0,"13,900",56770.84678,2024-09-01,1,-1
ACEH,2024,10,94618.07796,165996.628,"13,750",14,118.4,5,28.0,0,0,0,"13,900",94618.07796,2024-10-01,0,1
ACEH,2024,11,37847.23118,66398.6512,"13,700",6,196.6,8,55.4,0,0,0,"13,750",94618.07796,2024-11-01,0,1
ACEH,2024,12,37847.23118,66398.6512,"13,650",7,427.4,6,99.6,0,0,2,"13,700",37847.23118,2024-12-01,0,1
ACEH,2025,1,43791.35256,71061.29,"13,800",7,363.1,9,84.5,0,0,1,"13,650",37847.23118,2025-01-01,0,1
ACEH,2025,2,61321.10847,105254.72,"13,750",8,10120.0,5,9999.0,0,0,0,"13,800",43791.35256,2025-02-01,1,-1
ACEH,2025,3,173646.57,294608.47,"13,750",10,10162.6,3,9999.0,30,2,0,"13,750",61321.10847,2025-03-01,1,-1
ACEH,2025,4,173175.1721,281119.38,"14,000",2,174.1,4,45.1,0,5,0,"13,750",173646.57,2025-04-01,0,1
ACEH,2025,5,89184.54163,149818.07,"13,850",7,139.6,4,20.0,0,0,0,"14,000",173175.1721,2025-05-01,0,1
ACEH,2025,6,31401.04836,53477.57,"14,050",22,83.6,4,35.5,0,0,0,"13,850",89184.54163,2025-06-01,0,1
BALI,2021,2,21166.7497,37134.6486,"11,600",16,507.2,12,77.7,0,0,0,"11,600",17638.95809,2021-02-01,0,1
BALI,2021,3,52916.87426,92836.6215,"11,600",1,261.2,3,48.5,0,0,0,"11,600",21166.7497,2021-03-01,0,1
BALI,2021,4,63500.24911,111403.9458,"11,500",2,90.1,5,27.4,18,0,0,"11,600",52916.87426,2021-04-01,0,1
BALI,2021,5,35277.91617,61891.081,"11,500",1,0.5,0,0.5,12,3,0,"11,500",63500.24911,2021-05-01,0,1
BALI,2021,6,24694.54132,43323.7567,"11,250",7,220.8,3,99.0,0,0,0,"11,500",35277.91617,2021-06-01,0,1
BALI,2021,7,17638.95809,30945.5405,"11,200",1,8.6,1,5.8,0,0,0,"11,250",24694.54132,2021-07-01,0,1
BALI,2021,8,21166.7497,37134.6486,"10,900",4,102.4,2,47.2,0,0,0,"11,200",17638.95809,2021-08-01,0,1
BALI,2021,9,35277.91617,61891.081,"10,900",4,151.5,2,113.0,0,0,0,"10,900",21166.7497,2021-09-01,0,1
BALI,2021,10,35277.91617,61891.081,"10,900",4,123.1,3,50.6,0,0,0,"10,900",35277.91617,2021-10-01,0,1
BALI,2021,11,14111.16647,24756.4324,"10,650",20,469.7,5,74.0,0,0,0,"10,900",35277.91617,2021-11-01,0,1
BALI,2021,12,14111.16647,24756.4324,"10,650",12,549.0,5,187.5,0,0,1,"10,650",14111.16647,2021-12-01,0,1
BALI,2022,1,19397.1456,34030.08,"11,100",6,367.2,8,59.6,0,0,1,"10,650",14111.16647,2022-01-01,0,1
BALI,2022,2,23276.57472,40836.096,"11,650",1,273.6,6,80.5,0,0,0,"11,100",19397.1456,2022-02-01,0,1
BALI,2022,3,58191.4368,102090.24,"11,650",2,316.2,3,93.5,0,0,0,"11,650",23276.57472,2022-03-01,0,1
BALI,2022,4,69829.72416,122508.288,"11,650",1,103.5,2,44.2,28,1,0,"11,650",58191.4368,2022-04-01,0,1
BALI,2022,5,38794.2912,68060.16,"11,100",2,69.1,2,32.0,2,5,0,"11,650",69829.72416,2022-05-01,0,1
BALI,2022,6,27156.00384,47642.112,"11,300",1,56.2,3,20.3,0,0,0,"11,100",38794.2912,2022-06-01,0,1
BALI,2022,7,19397.1456,34030.08,"11,300",1,14.1,2,8.6,0,0,0,"11,300",27156.00384,2022-07-01,0,1
BALI,2022,8,23276.57472,40836.096,"11,350",1,39.6,3,11.0,0,0,0,"11,300",19397.1456,2022-08-01,0,1
BALI,2022,9,38794.2912,68060.16,"11,550",4,129.2,2,48.5,0,0,0,"11,350",23276.57472,2022-09-01,0,1
BALI,2022,10,38794.2912,68060.16,"11,400",14,615.9,10,120.0,0,0,0,"11,550",38794.2912,2022-10-01,0,1
BALI,2022,11,15517.71648,27224.064,"11,500",1,237.7,4,55.5,0,0,0,"11,400",38794.2912,2022-11-01,0,1
BALI,2022,12,15517.71648,27224.064,"11,750",1,323.4,9,55.0,0,0,1,"11,500",15517.71648,2022-12-01,0,1
BALI,2023,1,19197.04853,33679.0325,"11,900",3,287.8,5,58.8,0,0,1,"11,750",15517.71648,2023-01-01,0,1
BALI,2023,2,23036.45823,40414.839,"12,600",5,423.5,8,63.0,0,0,0,"11,900",19197.04853,2023-02-01,0,1
BALI,2023,3,57591.14557,101037.0975,"12,550",0,68.6,2,16.0,9,0,0,"12,600",23036.45823,2023-03-01,0,1
BALI,2023,4,69109.37469,121244.517,"13,150",11,208.4,8,70.5,21,7,0,"12,550",57591.14557,2023-04-01,0,1
BALI,2023,5,38394.09705,67358.065,"13,000",3,29.1,1,17.0,0,0,0,"13,150",69109.37469,2023-05-01,0,1
BALI,2023,6,26875.86794,47150.6455,"13,000",0,43.4,1,38.0,0,0,0,"13,000",38394.09705,2023-06-01,0,1
BALI,2023,7,19197.04853,33679.0325,"12,950",17,232.6,3,94.2,0,0,0,"13,000",26875.86794,2023-07-01,0,1
BALI,2023,8,23036.45823,40414.839,"13,000",11,8.6,2,5.6,0,0,0,"12,950",19197.04853,2023-08-01,0,1
BALI,2023,9,38394.09705,67358.065,"13,850",5,1.7,1,1.6,0,0,0,"13,000",23036.45823,2023-09-01,0,1
BALI,2023,10,38394.09705,67358.065,"14,250",9,0.0,0,0.0,0,0,0,"13,850",38394.09705,2023-10-01,0,1
BALI,2023,11,15357.63882,26943.226,"14,350",2,89.2,2,51.2,0,0,0,"14,250",38394.09705,2023-11-01,0,1
BALI,2023,12,15357.63882,26943.226,"14,350",2,314.9,3,90.2,0,0,2,"14,350",15357.63882,2023-12-01,0,1
BALI,2024,1,18110.99048,31773.6675,"13,950",1,82.5,2,46.9,0,0,1,"14,350",15357.63882,2024-01-01,0,1
BALI,2024,2,21733.18857,38128.401,"15,150",3,322.8,9,85.8,0,0,0,"13,950",18110.99048,2024-02-01,0,1
BALI,2024,3,54332.97142,95321.0025,"16,700",3,239.8,4,95.4,20,0,0,"15,150",21733.18857,2024-03-01,0,1
BALI,2024,4,65199.56571,114385.203,"15,550",0,249.0,5,63.3,9,6,0,"16,700",54332.97142,2024-04-01,0,1
BALI,2024,5,36221.98095,63547.335,"15,050",0,1.9,1,1.6,0,0,0,"15,550",65199.56571,2024-05-01,0,1
BALI,2024,6,25355.38666,44483.1345,"14,950",0,46.5,2,15.5,0,0,0,"15,050",36221.98095,2024-06-01,0,1
BALI,2024,7,18110.99048,31773.6675,"15,000",0,52.8,1,26.5,0,0,0,"14,950",25355.38666,2024-07-01,0,1
BALI,2024,8,21733.18857,38128.401,"15,200",4,9.7,1,8.4,0,0,0,"15,000",18110.99048,2024-08-01,0,1
BALI,2024,9,36221.98095,63547.335,"15,200",7,51.8,2,37.0,0,0,0,"15,200",21733.18857,2024-09-01,0,1
BALI,2024,10,36221.98095,63547.335,"15,200",7,108.8,2,74.2,0,0,0,"15,200",36221.98095,2024-10-01,0,1
BALI,2024,11,14488.79238,25418.934,"15,100",3,166.4,3,61.4,0,0,0,"15,200",36221.98095,2024-11-01,0,1
BALI,2024,12,14488.79238,25418.934,"15,000",9,730.9,11,105.3,0,0,2,"15,100",14488.79238,2024-12-01,0,1
BALI,2025,1,25388.20104,43254.85,"15,000",6,575.9,8,55.5,0,0,1,"15,000",14488.79238,2025-01-01,0,1
BALI,2025,2,17878.81142,28914.99,"15,150",7,432.9,8,89.6,0,0,0,"15,000",25388.20104,2025-02-01,0,1
BALI,2025,3,30318.10526,50079.95,"15,350",11,268.1,7,58.7,30,2,0,"15,150",17878.81142,2025-03-01,0,1
BALI,2025,4,25830.94508,42779.62,"15,350",0,73.5,2,24.4,0,5,0,"15,350",30318.10526,2025-04-01,0,1
BALI,2025,5,48546.90648,82033.59,"15,300",1,111.4,8,26.3,0,0,0,"15,350",25830.94508,2025-05-01,0,1
BALI,2025,6,32779.18501,55885.89,"15,450",1,214.9,3,108.6,0,0,0,"15,300",48546.90648,2025-06-01,0,1
BANTEN,2021,2,54831.0474,96194.82,"11,100",27,585.1,11,118.8,0,0,0,"11,100",45692.5395,2021-02-01,0,1
BANTEN,2021,3,137077.6185,240487.05,"11,100",6,146.6,2,65.5,0,0,0,"11,100",54831.0474,2021-03-01,0,1
BANTEN,2021,4,164493.1422,288584.46,"11,000",6,149.2,5,63.0,18,0,0,"11,100",137077.6185,2021-04-01,0,1
BANTEN,2021,5,91385.079,160324.7,"11,000",9,117.1,4,52.5,12,3,0,"11,000",164493.1422,2021-05-01,0,1
BANTEN,2021,6,63969.5553,112227.29,"11,000",6,201.2,3,43.0,0,0,0,"11,000",91385.079,2021-06-01,0,1
BANTEN,2021,7,45692.5395,80162.35,"11,000",2,34.8,2,14.0,0,0,0,"11,000",63969.5553,2021-07-01,0,1
BANTEN,2021,8,54831.0474,96194.82,"11,000",8,159.4,1,63.0,0,0,0,"11,000",45692.5395,2021-08-01,0,1
BANTEN,2021,9,91385.079,160324.7,"10,900",10,79.6,3,27.7,0,0,0,"11,000",54831.0474,2021-09-01,0,1
BANTEN,2021,10,91385.079,160324.7,"11,200",8,86.1,3,31.0,0,0,0,"10,900",91385.079,2021-10-01,0,1
BANTEN,2021,11,36554.0316,64129.88,"11,200",17,127.8,2,38.4,0,0,0,"11,200",91385.079,2021-11-01,0,1
BANTEN,2021,12,36554.0316,64129.88,"11,200",21,339.6,3,71.7,0,0,1,"11,200",36554.0316,2021-12-01,0,1
BANTEN,2022,1,50974.6041,89429.13,"11,550",7,174.5,5,60.0,0,0,1,"11,200",36554.0316,2022-01-01,0,1
BANTEN,2022,2,61169.52492,107314.956,"11,500",8,179.8,5,48.5,0,0,0,"11,550",50974.6041,2022-02-01,0,1
BANTEN,2022,3,152923.8123,268287.39,"11,400",9,268.4,4,108.3,0,0,0,"11,500",61169.52492,2022-03-01,0,1
BANTEN,2022,4,183508.5748,321944.868,"11,400",9,181.1,4,45.7,28,1,0,"11,400",152923.8123,2022-04-01,0,1
BANTEN,2022,5,101949.2082,178858.26,"11,400",11,402.9,3,115.2,2,5,0,"11,400",183508.5748,2022-05-01,0,1
BANTEN,2022,6,71364.44574,125200.782,"11,250",4,83.1,4,23.8,0,0,0,"11,400",101949.2082,2022-06-01,0,1
BANTEN,2022,7,50974.6041,89429.13,"11,250",5,100.4,2,37.5,0,0,0,"11,250",71364.44574,2022-07-01,0,1
BANTEN,2022,8,61169.52492,107314.956,"11,250",0,63.3,1,22.9,0,0,0,"11,250",50974.6041,2022-08-01,0,1
BANTEN,2022,9,101949.2082,178858.26,"11,550",7,228.8,2,74.5,0,0,0,"11,250",61169.52492,2022-09-01,0,1
BANTEN,2022,10,101949.2082,178858.26,"11,850",9,191.7,4,37.5,0,0,0,"11,550",101949.2082,2022-10-01,0,1
BANTEN,2022,11,40779.68328,71543.304,"11,850",5,196.6,2,57.7,0,0,0,"11,850",101949.2082,2022-11-01,0,1
BANTEN,2022,12,40779.68328,71543.304,"11,850",10,168.4,6,40.7,0,0,1,"11,850",40779.68328,2022-12-01,0,1
BANTEN,2023,1,48064.77377,84324.1645,"12,400",7,75.0,3,14.2,0,0,1,"11,850",40779.68328,2023-01-01,0,1
BANTEN,2023,2,57677.72852,101188.9974,"12,750",13,393.8,7,81.9,0,0,0,"12,400",48064.77377,2023-02-01,0,1
BANTEN,2023,3,144194.3213,252972.4935,"13,100",12,273.6,5,62.9,9,0,0,"12,750",57677.72852,2023-03-01,0,1
BANTEN,2023,4,173033.1856,303566.9922,"13,100",3,49.5,2,12.0,21,7,0,"13,100",144194.3213,2023-04-01,0,1
BANTEN,2023,5,96129.54753,168648.329,"13,100",5,69.7,2,25.4,0,0,0,"13,100",173033.1856,2023-05-01,0,1
BANTEN,2023,6,67290.68327,118053.8303,"13,100",0,155.9,2,47.8,0,0,0,"13,100",96129.54753,2023-06-01,0,1
BANTEN,2023,7,48064.77377,84324.1645,"13,100",2,98.7,2,58.2,0,0,0,"13,100",67290.68327,2023-07-01,0,1
BANTEN,2023,8,57677.72852,101188.9974,"13,300",3,2.0,1,2.0,0,0,0,"13,100",48064.77377,2023-08-01,0,1
BANTEN,2023,9,96129.54753,168648.329,"13,800",6,15.5,1,15.5,0,0,0,"13,300",57677.72852,2023-09-01,0,1
BANTEN,2023,10,96129.54753,168648.329,"14,150",4,24.8,1,19.5,0,0,0,"13,800",96129.54753,2023-10-01,0,1
BANTEN,2023,11,38451.81901,67459.3316,"14,600",4,139.4,3,36.4,0,0,0,"14,150",96129.54753,2023-11-01,0,1
BANTEN,2023,12,38451.81901,67459.3316,"14,600",4,88.3,2,33.5,0,0,2,"14,600",38451.81901,2023-12-01,0,1
BANTEN,2024,1,44192.76861,77531.173,"14,600",13,309.7,5,70.7,0,0,1,"14,600",38451.81901,2024-01-01,0,1
BANTEN,2024,2,53031.32233,93037.4076,"15,250",10,160.6,2,52.5,0,0,0,"14,600",44192.76861,2024-02-01,0,1
BANTEN,2024,3,132578.3058,232593.519,"16,750",10,284.0,6,76.2,20,0,0,"15,250",53031.32233,2024-03-01,0,1
BANTEN,2024,4,159093.967,279112.2228,"15,800",13,337.3,4,54.0,9,6,0,"16,750",132578.3058,2024-04-01,0,1
BANTEN,2024,5,88385.53722,155062.346,"15,000",6,169.1,2,86.5,0,0,0,"15,800",159093.967,2024-05-01,0,1
BANTEN,2024,6,61869.87605,108543.6422,"14,850",2,119.9,5,24.7,0,0,0,"15,000",88385.53722,2024-06-01,0,1
BANTEN,2024,7,44192.76861,77531.173,"14,850",4,112.0,4,37.9,0,0,0,"14,850",61869.87605,2024-07-01,0,1
BANTEN,2024,8,53031.32233,93037.4076,"15,250",2,21.8,1,21.0,0,0,0,"14,850",44192.76861,2024-08-01,0,1
BANTEN,2024,9,88385.53722,155062.346,"14,650",4,104.9,3,25.1,0,0,0,"15,250",53031.32233,2024-09-01,0,1
BANTEN,2024,10,88385.53722,155062.346,"14,650",3,16.6,2,10.5,0,0,0,"14,650",88385.53722,2024-10-01,0,1
BANTEN,2024,11,35354.21489,62024.9384,"14,650",12,171.4,4,84.3,0,0,0,"14,650",88385.53722,2024-11-01,0,1
BANTEN,2024,12,35354.21489,62024.9384,"14,800",18,294.4,9,57.5,0,0,2,"14,650",35354.21489,2024-12-01,0,1
BANTEN,2025,1,12000.92542,20822.2,"14,800",10,505.3,5,112.2,0,0,1,"14,800",35354.21489,2025-01-01,0,1
BANTEN,2025,2,81128.75473,138714.14,"15,150",8,199.1,7,44.3,0,0,0,"14,800",12000.92542,2025-02-01,0,1
BANTEN,2025,3,230219.7599,398689.8,"14,850",7,10293.9,3,9999.0,30,2,0,"15,150",81128.75473,2025-03-01,1,-1
BANTEN,2025,4,174341.3017,296544.83,"14,850",5,119.8,3,33.4,0,5,0,"14,850",230219.7599,2025-04-01,0,1
BANTEN,2025,5,38842.36345,67668.52,"14,500",4,189.0,4,59.7,0,0,0,"14,850",174341.3017,2025-05-01,0,1
BANTEN,2025,6,40416.69185,68656.59,"14,600",6,282.1,3,120.0,0,0,0,"14,500",38842.36345,2025-06-01,0,1
BENGKULU,2021,2,9272.207898,16267.0314,"11,450",3,298.5,5,47.0,0,0,0,"11,450",7726.839915,2021-02-01,0,1
BENGKULU,2021,3,23180.51974,40667.5785,"11,650",3,352.0,6,67.9,0,0,0,"11,450",9272.207898,2021-03-01,0,1
BENGKULU,2021,4,27816.62369,48801.0942,"11,500",3,141.5,4,25.3,18,0,0,"11,650",23180.51974,2021-04-01,0,1
BENGKULU,2021,5,15453.67983,27111.719,"11,500",1,523.0,5,97.2,12,3,0,"11,500",27816.62369,2021-05-01,0,1
BENGKULU,2021,6,10817.57588,18978.2033,"11,300",2,242.8,4,32.5,0,0,0,"11,500",15453.67983,2021-06-01,0,1
BENGKULU,2021,7,7726.839915,13555.8595,"11,400",4,206.0,6,68.7,0,0,0,"11,300",10817.57588,2021-07-01,0,1
BENGKULU,2021,8,9272.207898,16267.0314,"11,350",4,235.7,4,42.9,0,0,0,"11,400",7726.839915,2021-08-01,0,1
BENGKULU,2021,9,15453.67983,27111.719,"11,300",6,314.8,6,59.3,0,0,0,"11,350",9272.207898,2021-09-01,0,1
BENGKULU,2021,10,15453.67983,27111.719,"11,350",7,464.9,7,136.8,0,0,0,"11,300",15453.67983,2021-10-01,0,1
BENGKULU,2021,11,6181.471932,10844.6876,"11,300",2,206.8,6,73.4,0,0,0,"11,350",15453.67983,2021-11-01,0,1
BENGKULU,2021,12,6181.471932,10844.6876,"11,300",10,318.1,9,70.9,0,0,1,"11,300",6181.471932,2021-12-01,0,1
BENGKULU,2022,1,8025.887565,14080.5045,"11,300",1,207.8,4,112.4,0,0,1,"11,300",6181.471932,2022-01-01,0,1
BENGKULU,2022,2,9631.065078,16896.6054,"11,550",11,243.0,6,95.3,0,0,0,"11,300",8025.887565,2022-02-01,0,1
BENGKULU,2022,3,24077.6627,42241.5135,"11,350",1,184.9,5,50.0,0,0,0,"11,550",9631.065078,2022-03-01,0,1
BENGKULU,2022,4,28893.19523,50689.8162,"11,350",1,277.3,4,85.3,28,1,0,"11,350",24077.6627,2022-04-01,0,1
BENGKULU,2022,5,16051.77513,28161.009,"11,350",0,353.6,2,94.5,2,5,0,"11,350",28893.19523,2022-05-01,0,1
BENGKULU,2022,6,11236.24259,19712.7063,"11,300",6,482.7,4,257.4,0,0,0,"11,350",16051.77513,2022-06-01,0,1
BENGKULU,2022,7,8025.887565,14080.5045,"11,350",0,254.4,3,108.7,0,0,0,"11,300",11236.24259,2022-07-01,0,1
BENGKULU,2022,8,9631.065078,16896.6054,"11,400",9,538.3,7,154.3,0,0,0,"11,350",8025.887565,2022-08-01,0,1
BENGKULU,2022,9,16051.77513,28161.009,"11,550",5,361.1,4,175.4,0,0,0,"11,400",9631.065078,2022-09-01,0,1
BENGKULU,2022,10,16051.77513,28161.009,"11,950",5,622.7,8,116.5,0,0,0,"11,550",16051.77513,2022-10-01,0,1
BENGKULU,2022,11,6420.710052,11264.4036,"12,050",3,518.5,13,98.5,0,0,0,"11,950",16051.77513,2022-11-01,0,1
BENGKULU,2022,12,6420.710052,11264.4036,"12,450",3,366.7,5,68.3,0,0,1,"12,050",6420.710052,2022-12-01,0,1
BENGKULU,2023,1,8170.506255,14334.2215,"12,500",9,306.1,6,55.8,0,0,1,"12,450",6420.710052,2023-01-01,0,1
BENGKULU,2023,2,9804.607506,17201.0658,"12,700",4,196.1,5,42.2,0,0,0,"12,500",8170.506255,2023-02-01,0,1
BENGKULU,2023,3,24511.51876,43002.6645,"12,950",2,294.3,4,60.5,9,0,0,"12,700",9804.607506,2023-03-01,0,1
BENGKULU,2023,4,29413.82252,51603.1974,"12,950",0,355.6,6,77.1,21,7,0,"12,950",24511.51876,2023-04-01,0,1
BENGKULU,2023,5,16341.01251,28668.443,"12,950",4,71.2,4,22.0,0,0,0,"12,950",29413.82252,2023-05-01,0,1
BENGKULU,2023,6,11438.70876,20067.9101,"13,200",2,68.3,3,19.5,0,0,0,"12,950",16341.01251,2023-06-01,0,1
BENGKULU,2023,7,8170.506255,14334.2215,"13,250",2,256.8,3,65.4,0,0,0,"13,200",11438.70876,2023-07-01,0,1
BENGKULU,2023,8,9804.607506,17201.0658,"13,200",1,24.6,2,9.8,0,0,0,"13,250",8170.506255,2023-08-01,0,1
BENGKULU,2023,9,16341.01251,28668.443,"13,800",13,10.1,2,6.4,0,0,0,"13,200",9804.607506,2023-09-01,0,1
BENGKULU,2023,10,16341.01251,28668.443,"14,300",0,54.9,1,51.6,0,0,0,"13,800",16341.01251,2023-10-01,0,1
BENGKULU,2023,11,6536.405004,11467.3772,"14,500",1,100.1,2,38.7,0,0,0,"14,300",16341.01251,2023-11-01,0,1
BENGKULU,2023,12,6536.405004,11467.3772,"14,750",0,68.4,2,31.4,0,0,2,"14,500",6536.405004,2023-12-01,0,1
BENGKULU,2024,1,7776.183675,13642.4275,"15,000",2,307.1,4,95.7,0,0,1,"14,750",6536.405004,2024-01-01,0,1
BENGKULU,2024,2,9331.42041,16370.913,"15,000",3,499.7,5,135.8,0,0,0,"15,000",7776.183675,2024-02-01,0,1
BENGKULU,2024,3,23328.55102,40927.2825,"15,900",1,443.1,11,69.0,20,0,0,"15,000",9331.42041,2024-03-01,0,1
BENGKULU,2024,4,27994.26123,49112.739,"15,900",3,366.6,4,126.9,9,6,0,"15,900",23328.55102,2024-04-01,0,1
BENGKULU,2024,5,15552.36735,27284.855,"15,250",0,326.4,2,83.8,0,0,0,"15,900",27994.26123,2024-05-01,0,1
BENGKULU,2024,6,10886.65715,19099.3985,"15,150",0,260.0,3,96.3,0,0,0,"15,250",15552.36735,2024-06-01,0,1
BENGKULU,2024,7,7776.183675,13642.4275,"15,150",3,217.6,2,195.8,0,0,0,"15,150",10886.65715,2024-07-01,0,1
BENGKULU,2024,8,9331.42041,16370.913,"15,200",1,14.2,1,5.8,0,0,0,"15,150",7776.183675,2024-08-01,0,1
BENGKULU,2024,9,15552.36735,27284.855,"15,250",2,109.1,2,30.5,0,0,0,"15,200",9331.42041,2024-09-01,0,1
BENGKULU,2024,10,15552.36735,27284.855,"15,250",1,83.7,6,24.7,0,0,0,"15,250",15552.36735,2024-10-01,0,1
